31 1695203777 5,000000 1 5,000000 5,000000 5,000000
31 1695203802 -1,000000 1 -1,000000 -1,000000 -1,000000
31 1695203807 2,000000 1 2,000000 2,000000 2,000000
31 1695203827 0,000000 1 0,000000 0,000000 0,000000
31 1695203862 0,000000 1 0,000000 0,000000 0,000000
31 1695203872 0,000000 1 0,000000 0,000000 0,000000
31 1695203877 0,000000 1 0,000000 0,000000 0,000000
31 1695203882 -1,000000 1 -1,000000 -1,000000 -1,000000
31 1695203907 -1,000000 1 -1,000000 -1,000000 -1,000000
31 1695203912 2,000000 1 2,000000 2,000000 2,000000
31 1695203932 0,000000 1 0,000000 0,000000 0,000000
31 1695203967 0,000000 1 0,000000 0,000000 0,000000
31 1695203972 0,000000 1 0,000000 0,000000 0,000000
31 1695203982 0,000000 1 0,000000 0,000000 0,000000
31 1695203987 -1,000000 1 -1,000000 -1,000000 -1,000000
31 1695204012 -1,000000 1 -1,000000 -1,000000 -1,000000
31 1695204017 2,000000 1 2,000000 2,000000 2,000000
31 1695204037 0,000000 1 0,000000 0,000000 0,000000
31 1695204072 0,000000 1 0,000000 0,000000 0,000000
31 1695204077 0,000000 1 0,000000 0,000000 0,000000
31 1695204082 -6,000000 1 -6,000000 -6,000000 -6,000000
